tweet,keyword,date,user,source,tweet_id,url
Trumps Phony Fits of Sympathy for Bernie Sanders Are Just What Putin Ordered - Daily Sound and Fury,sanders,2020-02-16 16:20:31,BaklikF,Twitter for iPhone,1229078112534659073,https://twitter.com/statuses/1229078112534659073
"@jr_bohl I would vote for him in a second over Trump or Sanders, but a  hack politicians VERY well practiced charm =/= character or transcendent goodness.",sanders,2020-02-16 16:20:31,joeabrenner,Twitter Web App,1229078112924839936,https://twitter.com/statuses/1229078112924839936
"#LeaderWeNeed
#Warren2020","warren, #warren",2020-02-16 16:20:32,GTFUp16,Twitter Web App,1229078114061258752,https://twitter.com/statuses/1229078114061258752
Sen. Amy Klobuchar: People want plans not pipedreams - CNN,klobuchar,2020-02-16 16:20:32,mikudarake,dlvr.it,1229078115265077248,https://twitter.com/statuses/1229078115265077248
@FlinnShady They both have an authoritarian sound to them. Don’t like where this is going. Definitely rooting for Klobuchar or Biden to get nomination so we have a clear choice of decency/democracy versus a-hole authoritarianism.,"biden, klobuchar",2020-02-16 16:20:32,grizzlyman901,Twitter for iPhone,1229078115483357184,https://twitter.com/statuses/1229078115483357184
"@JRubinBlogger the fact that you support bloomberg reveals this, and all your pathetic sanders attacks, were cynical concern trolling he entire time","sanders, bloomberg",2020-02-16 16:20:33,fjordham,Twitter for iPhone,1229078119472140288,https://twitter.com/statuses/1229078119472140288
"Chuck Todd: Trump ‘Sabotaging’ Reelection, ‘Fears’ Bloomberg’s 💰 money. Up@ChuckTodd",bloomberg,2020-02-16 16:20:34,VSprus4trump,Twitter for iPhone,1229078122219225088,https://twitter.com/statuses/1229078122219225088
"@hiya_jazz Yet I like the fact that Lizzy is signaling what she is ready to do personally for Bloomberg.
Kinda sickening to even imagine.",bloomberg,2020-02-16 16:20:34,Benito66123304,Twitter for Android,1229078123259580416,https://twitter.com/statuses/1229078123259580416
"@3L3V3NTH Absolutely. I wish Bloomberg’s effective ads were being used against Trump, rather than FOR him, because they’re great. He’s not running against Trump, though. He’s running against social progressives, and if he beats them, he’d like to beat Trump. Either way, his money is safe.",bloomberg,2020-02-16 16:20:34,NoH8_USA,Twitter for iPhone,1229078123607621633,https://twitter.com/statuses/1229078123607621633
@WajahatAli Yes. The only two I could never bite for are trump and sanders,sanders,2020-02-16 16:20:34,JayFishkin,Twitter for iPhone,1229078124501008384,https://twitter.com/statuses/1229078124501008384
@BernieSanders why don’t you speak out Against this 👇🏽 NOT COOL NOT OK👇🏽,sanders,2020-02-16 16:20:34,renalds_angela,Twitter for iPhone,1229078124769562625,https://twitter.com/statuses/1229078124769562625
"The biggest issue with Mike Bloomberg is—we elected Trump who has essentially degraded the worth of Black & Brown people. You want to elect a Democrat whos also Trump?

Why, to tell Black and Brown children  both parties don’t value them? It’s ALWAYS about the children.",bloomberg,2020-02-16 16:20:35,JamesTheBaldwin,Twitter for iPhone,1229078126015254529,https://twitter.com/statuses/1229078126015254529
"TOM STEYER
TV-KDJT-CD (SALINAS/MONTEREY,ETC, CA)",steyer,2020-02-16 16:20:34,FCCFed,FCC Federal Political Files,1229078125213929473,https://twitter.com/statuses/1229078125213929473
"When you go in that polling location, the first thing that should matter to you is the children of not just from poverty to even the rich, not just America but even the world.

That’s the first thing that matters & Bloomberg tells the children, no you do not matter—WE DO!",bloomberg,2020-02-16 16:20:35,JamesTheBaldwin,Twitter for iPhone,1229078129081233408,https://twitter.com/statuses/1229078129081233408
The Case against Bloomberg,bloomberg,2020-02-16 16:20:35,jackox48,Twitter Web Client,1229078129731194880,https://twitter.com/statuses/1229078129731194880
"Fascist!: Michael Bloomberg heckled by gun rights activists in Virginia. VA can be flipped Red in November I have never seen voters as angry pissed off as the people of Virginia. It is gone way past guns, it is the arrogance of the new Dem Majority!",bloomberg,2020-02-16 16:20:35,OSINT220,Twitter Web App,1229078129853030400,https://twitter.com/statuses/1229078129853030400
@Bakari_Sellers Those ad play every 5 minutes in Florida and even had my mother confused and warming to Bloomberg.  My mother loves Obama like a son and if he trust someone then shes with that person. She is chosen Joe but has been also listening to Bloomberg because of those confusing Ads.,bloomberg,2020-02-16 16:20:36,symonelyfy,Twitter for Android,1229078129991471106,https://twitter.com/statuses/1229078129991471106
Bloomberg is Racist Cola Lite,bloomberg,2020-02-16 16:20:36,savascha,Twitter Web App,1229078133023707136,https://twitter.com/statuses/1229078133023707136
"A bunch of Harvard undergrad bros started a nerdy democracy club in 2000 that included @PeteButtigieg, and are now excited that they can potentially take the White House, and are now bragging about their nerdy, entitled club? Out 👏🏽 of 👏🏽 touch 🙄",buttigieg,2020-02-16 16:20:37,marioguerrero,Twitter for iPhone,1229078136706351105,https://twitter.com/statuses/1229078136706351105
@JRubinBlogger We are waiting on Bloombergs stuff too,bloomberg,2020-02-16 16:20:37,Rojohnson_912,Twitter for Android,1229078136983302145,https://twitter.com/statuses/1229078136983302145
"In private meeting, Joe Biden said part of education problem in black communities is that ""parents cannot read or write themselves""",biden,2020-02-16 16:20:38,StevenHarp_,Twitter Web Client,1229078138791002114,https://twitter.com/statuses/1229078138791002114
"The new thing ""Intersectional/Woke Left"" types are complaining about is people kept calling Kamala a cop, while Klobuchar has not had to deal with such BS.
Now, Amy has her issues and I agree, but let us not pretend it was the Klob types calling Kamala a cop. It was Bernie Bros.",klobuchar,2020-02-16 16:20:38,AKotsolis,Twitter for Android,1229078138707156996,https://twitter.com/statuses/1229078138707156996
"🚨MN for Amy: Mankato - Knock w/ your Neighbors on behalf of Amy Klobuchar! 

Sun, Feb 16, 12:00pm–3:00pm, 3:00pm–6:00pm CST

Bring family & friends for a day of canvassing.

Mankato DFL Office
110 East Liberty Street
Mankato, MN 56001

Info & RSVP⬇️",klobuchar,2020-02-16 16:20:38,klobucharmy,Twitter Web App,1229078138593800194,https://twitter.com/statuses/1229078138593800194
"@petercoffin Imagine Bloomberg as an ally... WOW

Now imagine him as he is now... OUCH.

He is not working for us.",bloomberg,2020-02-16 16:20:38,FriendlyWFakeID,Twitter Web App,1229078141093605376,https://twitter.com/statuses/1229078141093605376
I will be interested to see the betting odds on Klobuchar to win the Democratic Nomination if she can raise some money.,klobuchar,2020-02-16 16:20:38,Paulmig87825243,Twitter Web App,1229078142322642944,https://twitter.com/statuses/1229078142322642944
Bloomberg estaría considerando a Hillary Clinton como vicepresidenta,bloomberg,2020-02-16 16:20:39,14ymedio,Hootsuite Inc.,1229078144369545217,https://twitter.com/statuses/1229078144369545217
"@whstancil On some factors (like willingness to start a nuclear war) Trump seems clearly worse

On many other factors (like competence at carrying out racist/fascist/bigoted policies) Bloomberg is clearly worse

From a purely ethical/moral/utilitarian perspective the choice is not obvious",bloomberg,2020-02-16 16:20:40,StrikeDebt,Twitter Web App,1229078148819685377,https://twitter.com/statuses/1229078148819685377
"If Michael Bloomberg is considering Hillary Clinton for his VP he better act immediately and hire a ""food taster""!",bloomberg,2020-02-16 16:20:40,vnsch62,Twitter Web App,1229078149662748672,https://twitter.com/statuses/1229078149662748672
Biden says media exposure will eventually reduce Bloomberg’s support among black voters-,"biden, bloomberg",2020-02-16 16:20:40,tammytabby,Twitter Web App,1229078149897519104,https://twitter.com/statuses/1229078149897519104
@bajakeweenaw True. Bloomberg is better on #climatechange than Trump. Other Dems are still better than either.,bloomberg,2020-02-16 16:20:41,Kevin_Matthews_,Twitter for iPhone,1229078151407386626,https://twitter.com/statuses/1229078151407386626
But tell me more about Hunter Biden,biden,2020-02-16 16:20:41,JetlifeMegs,Twitter for iPhone,1229078153173315587,https://twitter.com/statuses/1229078153173315587
@jvharris65 President: Bloomberg President: Bloomberg.       Vice President : Pete Buttigieg.                            Supreme Court : Obama and Hillary,"buttigieg, bloomberg",2020-02-16 16:20:41,Oso_nyc,Twitter for iPhone,1229078153810845700,https://twitter.com/statuses/1229078153810845700
"Fairly or not, everyone with a ""think piece"" or political endorsement praising Bloomberg & his supposed ability to beat Trump will be haunted by the reality, exposed so brilliantly in todays NYT, that he is spending billions to buy countless influencers.",bloomberg,2020-02-16 16:20:41,Sandy_Tolan,Twitter Web App,1229078154502795264,https://twitter.com/statuses/1229078154502795264
@chef4funlisa Just going to leave this here and say that I hope you come around on this. Bloombergs 3 terms were also a terror for Muslims living in NYC.,bloomberg,2020-02-16 16:20:42,KindAndUnblind,Twitter Web App,1229078155639607296,https://twitter.com/statuses/1229078155639607296
Boy.  Kellyanne sure wants to let people know how horrible & rotten Mike Bloomberg is.,bloomberg,2020-02-16 16:20:42,jhwygirl,TweetCaster for Android,1229078156562141185,https://twitter.com/statuses/1229078156562141185
"We should publish the numbers associated with Medicare for All, pointing out the inevitable collapse of the economy, and rely on the wisdom of non elite voters to judge Sanders.",sanders,2020-02-16 16:20:42,SelfJim,Twitter Web App,1229078157334110210,https://twitter.com/statuses/1229078157334110210
obama endorsed bloomberg lol this is so sick he’s a snake just like the rest of them i said what i said,bloomberg,2020-02-16 16:20:43,_lauraporfavor,Twitter for iPhone,1229078161171853315,https://twitter.com/statuses/1229078161171853315
"@StankAttitude Do not tell presidential candidate Bernie Sanders, but one of the most reliable votes over the years for the democrats neoliberal corporate shill agenda has been Senator Bernie Sanders.",sanders,2020-02-16 16:20:43,KevinLNyc,Twitter Web App,1229078161176002561,https://twitter.com/statuses/1229078161176002561
@SenSanders You need to show leadership by getting your followers in line! They act like trumpster cult! Taking a coffin with Biden’s name on it to a event put the nail in the coffin for me NEVER VOTING FOR YOU! He has lost a wife and two children! Shame on them and you!,"biden, sanders",2020-02-16 16:20:43,forevergypsy64,Twitter for iPhone,1229078161566003200,https://twitter.com/statuses/1229078161566003200
"Pete Buttigieg Tries Speaking Spanish In Nevada, Fails & Crowd Laughs At...  via @YouTube",buttigieg,2020-02-16 16:20:43,nancyas7,Twitter Web Client,1229078161813536769,https://twitter.com/statuses/1229078161813536769
